asset,Hat,Body,Ears,Eyes,Head,name,Class,Family,Weapon,Accessory,Background,FacialHair
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065436f7572746c616e64466f7264,Top Hat,Cardigan,Plain,Shutter Shades,Ape,Courtland Ford,Artists,Ford,None,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706542656e746c6579477265656e,Top Hat,Ape,Plain,Normal,Ape,Bentley Green,Craftsmen,Green,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526f62657274436174616c6469,Gold Helmet,Suit,Plain,Spectacles,Orange,Robert Cataldi,Merchants,Cataldi,Sword,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706544656d70737465724b696e67,Hoodie,Suit,Silver Earring,Normal,Ape,Dempster King,Artists,King,None,None,Warm,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654672616e636973636f4d617273,None,Ape,Feather Pen,Normal,Ape,Francisco Mars,Artists,Mars,Sword,None,Blue,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170655370656e636572526f6265727473,None,Suit,Silver Earring,Normal,Ape,Spencer Roberts,Craftsmen,Roberts,None,None,Green,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557616c6c616365477265656e,None,Ape,Silver Earring,Normal,Ape,Wallace Green,Craftsmen,Green,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065447572616e64466f7264,Spinner Hat,Gold Linen,Plain,Normal,Ape,Durand Ford,Artists,Ford,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654f7377616c64476172633f61,Top Hat,Lumberjack Shirt,Plain,Normal,Ape,Oswald García,Explorers,García,Spear,Gold Teeth,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065536e6f7764656e4d617273,Pirate Hat,Black Wool Coat,Plain,Normal,Ape,Snowden Mars,Artists,Mars,None,None,Oker,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654e656c736f6e48696c6c,Gold Helmet,Ape,Plain,Aviators,Ape,Nelson Hill,Artists,Hill,None,Wheat,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065566f6c746169726542616c6477696e,Pirate Hat,Cardigan,Silver Earring,Normal,Ape,Voltaire Baldwin,Military Officers,Baldwin,Sword,None,Neutral,Long White Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c7661726f436174616c6469,Gold Helmet,Gold Linen,Earphones,Spectacles,Ape,Alvaro Cataldi,Merchants,Cataldi,None,None,Green,Normal
